Year,Historical,Ensemble,10th percentile,90th percentile,MIROC-ESM-CHEM ,NorESM1-ME ,HadGEM2-ES ,FGOALS-g2 ,GFDL-ESM2M ,IPSL-CM5A-MR ,MRI-CGCM3 ,HadGEM2-AO ,CSIRO-Mk3-6-0 ,MPI-ESM-LR ,NorESM1-M ,BNU-ESM ,GFDL-ESM2G ,MIROC5 ,GFDL-CM3 ,MIROC-ESM ,bcc-csm1-1 ,CNRM-CM5 ,CCSM4 ,CanESM2 ,CESM1-CAM5 ,bcc-csm1-1-m ,IPSL-CM5A-LR ,MPI-ESM-MR 
2013,97.9,69,34.35,115.65,133.0 ,64.6 ,32.9 ,41.8 ,42.9 ,99.0 ,104.4 ,62.8 ,35.8 ,69.3 ,102.5 ,52.3 ,52.2 ,65.9 ,73.3 ,56.9 ,30.5 ,89.2 ,73.4 ,92.1 ,38.4 ,67.5 ,126.9 ,65.7 
2014,,69,28.7,117.2,93.0 ,95.8 ,165.0 ,64.6 ,29.6 ,69.5 ,33.4 ,41.7 ,64.8 ,78.1 ,67.0 ,70.7 ,53.8 ,58.3 ,74.3 ,58.4 ,77.8 ,83.4 ,27.8 ,96.2 ,138.2 ,17.9 ,49.7 ,55.1 
2015,,69,35.2,103.85,85.6 ,83.8 ,36.8 ,99.9 ,86.4 ,58.3 ,64.0 ,78.2 ,57.0 ,103.2 ,56.4 ,117.0 ,38.5 ,63.6 ,59.3 ,72.0 ,79.4 ,29.0 ,63.6 ,33.6 ,66.2 ,104.5 ,37.9 ,92.0 
2016,,73,40.85,120.3,38.3 ,43.4 ,136.0 ,47.0 ,117.4 ,76.3 ,59.1 ,96.3 ,60.7 ,49.0 ,86.6 ,69.4 ,72.5 ,94.7 ,78.6 ,123.2 ,75.9 ,32.3 ,49.5 ,84.9 ,101.6 ,82.9 ,43.4 ,52.0 
2017,,77,32.8,110.85,51.0 ,73.1 ,57.7 ,69.2 ,110.0 ,92.1 ,73.4 ,111.7 ,109.3 ,210.5 ,105.7 ,76.4 ,75.0 ,39.8 ,100.3 ,95.8 ,35.9 ,100.7 ,52.6 ,34.5 ,86.9 ,31.1 ,30.2 ,46.4 
2018,,79,31.05,125.95,68.6 ,128.6 ,14.1 ,52.6 ,99.5 ,115.0 ,59.2 ,27.1 ,137.0 ,49.9 ,76.6 ,52.1 ,52.0 ,118.3 ,123.3 ,40.2 ,115.1 ,118.9 ,106.6 ,35.0 ,78.1 ,80.6 ,50.9 ,104.7 
2019,,80,42.65,121.2,84.0 ,132.7 ,75.9 ,94.5 ,64.4 ,102.5 ,67.9 ,89.9 ,118.6 ,101.7 ,45.5 ,45.1 ,79.4 ,115.6 ,47.2 ,98.8 ,99.4 ,79.9 ,30.5 ,79.8 ,50.8 ,40.2 ,123.8 ,66.5 
2020,,69,28.25,106.8,71.6 ,44.5 ,52.9 ,18.2 ,83.4 ,48.1 ,91.9 ,71.7 ,105.4 ,18.1 ,94.6 ,95.3 ,108.2 ,68.6 ,73.9 ,76.2 ,77.0 ,59.1 ,71.5 ,56.9 ,38.3 ,39.1 ,128.8 ,68.5 
2021,,81,41.45,116.25,39.2 ,89.3 ,46.8 ,86.5 ,102.1 ,73.4 ,102.0 ,113.2 ,43.7 ,136.7 ,93.6 ,84.0 ,37.5 ,119.3 ,99.8 ,66.7 ,50.0 ,90.6 ,67.3 ,96.2 ,92.8 ,79.2 ,65.9 ,88.6 
2022,,85,45.7,122.8,139.6 ,88.9 ,67.9 ,67.2 ,66.9 ,120.5 ,71.7 ,90.2 ,122.6 ,70.2 ,71.7 ,98.6 ,96.3 ,99.5 ,25.0 ,123.0 ,88.6 ,56.1 ,44.1 ,119.6 ,47.3 ,100.1 ,66.0 ,113.3 
2023,,76,39.7,113.95,38.6 ,54.2 ,110.4 ,76.1 ,117.5 ,103.9 ,54.8 ,58.0 ,91.0 ,76.6 ,38.0 ,96.1 ,49.0 ,40.8 ,82.0 ,42.9 ,55.0 ,108.2 ,95.4 ,71.5 ,74.1 ,102.1 ,70.6 ,134.0 
2024,,81,37.2,121.8,63.2 ,36.4 ,85.9 ,111.1 ,125.2 ,83.2 ,92.6 ,80.3 ,82.1 ,82.4 ,168.9 ,69.2 ,63.1 ,110.3 ,88.2 ,30.0 ,77.5 ,43.6 ,38.0 ,118.4 ,90.7 ,76.2 ,70.4 ,71.1 
2025,,86,50.55,127.95,94.7 ,63.4 ,103.5 ,37.7 ,121.1 ,63.6 ,110.4 ,84.1 ,71.2 ,52.0 ,75.9 ,99.4 ,159.7 ,134.8 ,73.7 ,94.6 ,119.5 ,85.8 ,89.6 ,51.2 ,110.5 ,69.6 ,49.9 ,69.2 
